Pad Number,Engineering Label (Thunder),Pre-IO Coordinate,Pin Type,Pin Display Name,DI_ICE4T,CM225,UWG30,SG48,FWG49,WLCSP30,QFN48
88,GND,,GND,,88,J8,E2,,E3,E2,
89,RGB2,"6,31,0",PIO_RGB,RGB2,89,L7,A5,39,A6,A5,39
90,RGB1,"5,31,0",PIO_RGB,RGB1,90,C5,B5,40,B7,B5,40
91,RGB0,"4,31,0",PIO_RGB,RGB0,91,F7,C5,41,A7,C5,41
92,GND, ,GND,,92,J9,E2,,E3,E2,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Note: 1. 89H-91H change to RGB2/RGB1/RGB0 . original is IOT-52 . note there are two IOT_52 in original ,,,,,,,,,,,
